transaction_id,timestamp,customer_id,product_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag,net_revenue,revenue_per_item
80820.0,2021-01-30 06:32:00,2.0,1802,1.0,0.05,60.09,0,0.0,60.040000000000006,60.09
11222.0,2023-11-19 07:55:00,8.0,1794,1.0,0.15,65.25,26,0.0,65.1,65.25
82273.0,2022-04-06 23:00:00,9.0,1970,1.0,0.1,65.63,29,0.0,65.53,65.63
63602.0,2021-12-01 12:53:00,13.0,1715,1.0,0.0,71.9,17,0.0,71.9,71.9
4122.0,2022-06-22 12:48:00,14.0,928,1.0,0.0,76.14,0,0.0,76.14,76.14
89297.0,2022-08-14 09:47:00,17.0,1831,1.0,0.15,97.28,2,0.0,97.13,97.28
67094.0,2021-10-15 11:56:00,19.0,229,1.0,0.0,122.93,2,0.0,122.93,122.93
50094.0,2021-11-02 21:54:00,20.0,1369,1.0,0.0,19.54,29,0.0,19.54,19.54
56055.0,2021-06-09 07:05:00,20.0,50,2.0,0.0,37.26,25,0.0,37.26,18.63
68666.0,2023-09-01 18:46:00,20.0,212,1.0,0.1,49.02,9,0.0,48.92,49.02
98202.0,2022-07-26 11:03:00,20.0,157,1.0,0.0,18.65,7,0.0,18.65,18.65
79012.0,2021-03-03 15:52:00,21.0,850,2.0,0.05,171.32,18,0.0,171.26999999999998,85.66
35966.0,2022-11-05 02:11:00,22.0,209,2.0,0.0,162.78,40,0.0,162.78,81.39
44093.0,2021-03-06 14:13:00,22.0,805,1.0,0.0,118.65,24,0.0,118.65,118.65
67993.0,2022-07-15 20:04:00,22.0,1273,1.0,0.15,66.95,9,0.0,66.8,66.95
70542.0,2023-07-14 10:16:00,22.0,1753,3.0,0.0,128.94,13,0.0,128.94,42.98
28068.0,2022-05-06 23:28:00,23.0,561,1.0,0.0,73.88,42,0.0,73.88,73.88
3270.0,2021-08-07 15:24:00,25.0,1668,3.0,0.0,300.63,0,0.0,300.63,100.21
22887.0,2021-09-08 21:10:00,25.0,846,1.0,0.0,65.23,39,0.0,65.23,65.23
54945.0,2022-04-25 12:28:00,26.0,1314,1.0,0.0,54.35,0,0.0,54.35,54.35
87744.0,2022-02-08 04:27:00,28.0,1974,1.0,0.0,38.63,49,0.0,38.63,38.63
100205.0,2022-12-15 13:02:00,28.0,908,1.0,0.0,139.16,0,0.0,139.16,139.16
88243.0,2021-02-19 06:21:00,29.0,60,2.0,0.0,595.26,7,0.0,595.26,297.63
17472.0,2022-01-28 23:49:00,32.0,117,4.0,0.05,100.17,0,0.0,100.12,25.0425
86040.0,2022-07-09 21:09:00,33.0,736,1.0,0.2,8.1,41,0.0,7.8999999999999995,8.1
2648.0,2023-05-02 20:30:00,37.0,263,1.0,0.0,43.49,2,0.0,43.49,43.49
81980.0,2022-02-24 17:32:00,37.0,1351,1.0,0.0,16.04,48,0.0,16.04,16.04
42798.0,2022-12-05 03:44:00,41.0,368,3.0,0.1,449.71,29,0.0,449.60999999999996,149.90333333333334
84756.0,2022-04-07 20:03:00,41.0,1481,1.0,0.05,61.81,0,0.0,61.760000000000005,61.81
94035.0,2021-12-18 14:51:00,41.0,1517,1.0,0.1,108.53,10,0.0,108.43,108.53
32936.0,2022-12-12 00:40:00,44.0,932,1.0,0.0,103.79,9,0.0,103.79,103.79
11461.0,2022-03-19 01:09:00,46.0,362,2.0,0.0,274.72,38,0.0,274.72,137.36
45218.0,2022-03-03 13:33:00,46.0,160,1.0,0.1,46.11,42,0.0,46.01,46.11
64466.0,2023-02-18 21:18:00,46.0,1517,2.0,0.0,241.18,34,0.0,241.18,120.59
99036.0,2022-07-22 07:09:00,47.0,1679,1.0,0.15,29.91,0,0.0,29.76,29.91
31307.0,2022-02-20 22:49:00,48.0,726,1.0,0.0,171.12,23,0.0,171.12,171.12
8672.0,2021-02-07 23:26:00,49.0,1475,1.0,0.15,39.19,44,0.0,39.04,39.19
3804.0,2022-12-18 11:55:00,50.0,1809,1.0,0.0,97.21,43,0.0,97.21,97.21
74642.0,2021-04-18 18:19:00,50.0,1336,1.0,0.05,95.88,28,0.0,95.83,95.88
84881.0,2023-05-24 21:02:00,50.0,1314,2.0,0.0,108.7,0,0.0,108.7,54.35
10653.0,2023-01-18 23:23:00,51.0,838,1.0,0.2,42.15,25,0.0,41.949999999999996,42.15
66646.0,2021-07-10 10:49:00,52.0,1567,2.0,0.0,138.3,29,0.0,138.3,69.15
84403.0,2022-08-26 05:12:00,53.0,461,1.0,0.15,15.95,5,0.0,15.799999999999999,15.95
14397.0,2021-07-03 18:56:00,55.0,1980,2.0,0.0,-22.22,12,1.0,-22.22,-11.11
56779.0,2023-01-28 10:32:00,55.0,1019,2.0,0.0,-136.56,15,1.0,-136.56,-68.28
93003.0,2023-01-18 14:54:00,55.0,1350,1.0,0.0,100.74,18,0.0,100.74,100.74
91115.0,2022-08-17 18:05:00,56.0,623,1.0,0.1,55.22,30,0.0,55.12,55.22
66147.0,2022-09-04 05:47:00,57.0,1579,1.0,0.05,17.78,10,0.0,17.73,17.78
43405.0,2022-11-13 02:48:00,62.0,1029,1.0,0.1,32.63,16,0.0,32.53,32.63
23941.0,2022-10-04 22:15:00,63.0,281,1.0,0.0,18.07,23,0.0,18.07,18.07
30107.0,2022-09-12 12:58:00,63.0,705,1.0,0.0,279.87,15,0.0,279.87,279.87
61866.0,2022-04-06 15:39:00,64.0,1348,1.0,0.0,111.58,0,0.0,111.58,111.58
14842.0,2021-05-27 06:33:00,66.0,1719,1.0,0.0,53.58,26,0.0,53.58,53.58
21807.0,2021-09-21 11:16:00,67.0,1346,2.0,0.0,275.42,0,0.0,275.42,137.71
74634.0,2022-03-04 17:16:00,67.0,1339,2.0,0.0,60.64,2,0.0,60.64,30.32
